****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
81 (QN/Block) 	Elapsed: 19.718	Loglikelihood: -1.40167e+08	(delta): 0.0324527
82 (QN/Block) 	Elapsed: 19.164	Loglikelihood: -1.40167e+08	(delta): 0.0679926
83 (QN/Block) 	Elapsed: 20.698	Loglikelihood: -1.40167e+08	(delta): 0.0890385
84 (QN/Block) 	Elapsed: 21.101	Loglikelihood: -1.40167e+08	(delta): 0.193888
85 (QN/Block) 	Elapsed: 21.719	Loglikelihood: -1.40167e+08	(delta): 0.029282
86 (QN/Block) 	Elapsed: 23.204	Loglikelihood: -1.40167e+08	(delta): 0.0654938
87 (QN/Block) 	Elapsed: 21.59	Loglikelihood: -1.40167e+08	(delta): 0.0721889
88 (QN/Block) 	Elapsed: 21.585	Loglikelihood: -1.40167e+08	(delta): 0.0654217
89 (QN/Block) 	Elapsed: 20.123	Loglikelihood: -1.40167e+08	(delta): 0.0199875
90 (QN/Block) 	Elapsed: 21.776	Loglikelihood: -1.40167e+08	(delta): 0.0256969
91 (QN/Block) 	Elapsed: 22.658	Loglikelihood: -1.40167e+08	(delta): 0.0749914
92 (QN/Block) 	Elapsed: 23.306	Loglikelihood: -1.40167e+08	(delta): 0.159435
93 (QN/Block) 	Elapsed: 21.149	Loglikelihood: -1.40167e+08	(delta): 0.0493907
94 (QN/Block) 	Elapsed: 19.457	Loglikelihood: -1.40167e+08	(delta): 0.0453524
95 (QN/Block) 	Elapsed: 21.823	Loglikelihood: -1.40167e+08	(delta): 0.0385301
96 (QN/Block) 	Elapsed: 23.103	Loglikelihood: -1.40167e+08	(delta): 0.108014
97 (QN/Block) 	Elapsed: 23.895	Loglikelihood: -1.40167e+08	(delta): 0.0372626
98 (QN/Block) 	Elapsed: 23.236	Loglikelihood: -1.40167e+08	(delta): 0.0170185
99 (QN/Block) 	Elapsed: 20.699	Loglikelihood: -1.40167e+08	(delta): 0.0265689
100 (QN/Block) 	Elapsed: 23.863	Loglikelihood: -1.40167e+08	(delta): 0.0951796
101 (QN/Block) 	Elapsed: 22.445	Loglikelihood: -1.40167e+08	(delta): 0.0179659
